NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-eaa-asset-front-group-1-v15-bf465c7f-xpbgl                  147m         7141Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-xqbcb                  155m         7209Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-zmmjz                  207m         7116Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-zt8gk                  177m         7004Mi          
emss-eaa-entfin-front-group-1-v8-8566b6696-2d8rw                 39m          1570Mi          
emss-eaa-entfin-front-group-1-v8-8566b6696-5rtl2                 52m          1558Mi          
emss-eaa-entfin-front-group-1-v8-8566b6696-j7chm                 43m          1564Mi          
emss-eaa-entfin-front-group-1-v8-8566b6696-m96d4                 51m          1542Mi          
emss-eaa-indfin-front-group-1-v9-7f984f765f-65rnv                43m          2239Mi          
emss-eaa-indfin-front-group-1-v9-7f984f765f-7rjzl                65m          2214Mi          
emss-eaa-indfin-front-group-1-v9-7f984f765f-7vz7p                54m          2258Mi          
emss-eaa-indfin-front-group-1-v9-7f984f765f-zw2w9                50m          2226Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-2gvk2         144m         4290Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-4nl4g         98m          4199Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-6dtrt         99m          4263Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-6nkt4         90m          4189Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-7ln4f         142m         4329Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-9pghr         107m         4337Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-ctqf9         159m         4379Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-frlpz         143m         4315Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-hjxn2         101m         4465Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-mms8l         114m         4322Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-nrxvd         129m         4285Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-rp55k         96m          4228Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-x6j2v         127m         4381Mi          
emss-eaa-individuation-front-group-1-v13-84f7bcfb8-x8mnc         113m         4317Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-58rxn              219m         6788Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-6g9c5              218m         6800Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-76f5v              219m         6804Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-82kr7              229m         6786Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-88hnv              355m         6794Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-89k82              259m         6786Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-8g8nd              270m         6774Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-8hl77              199m         6792Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9bshs              256m         6749Mi          
