NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-uia-auth-front-group-1-v17-58bb4c98fc-kqqgv              295m         6708Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-lmjpp              313m         6716Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-lrkl6              300m         6512Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-plts7              316m         6675Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-s589q              309m         6724Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-sq77v              307m         6657Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-t2hb9              285m         6738Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-vfg66              305m         6728Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-vp5t9              441m         6711Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-zpf22              289m         6807Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-25rrp              781m         6787Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-2hm27              554m         6788Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-2mhzg              625m         6787Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-2plx7              515m         6796Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-2s5v4              553m         6783Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-5rvbl              559m         6807Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-6p2rq              558m         6792Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-9crx4              563m         6786Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-b5nb7              538m         6810Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-bkxng              561m         6795Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-bnxxl              578m         6805Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-bw9bj              618m         6796Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-cg87l              618m         6796Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-cjtr4              591m         6785Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-clddd              520m         6785Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-dzjh9              624m         6791Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-f2jzx              653m         6800Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-fqrhz              608m         6778Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-g8fd4              562m         6787Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-gr64x              612m         6790Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-hflnb              526m         6816Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-kmgs8              674m         6780Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-l5sm4              417m         6817Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-lzkrq              645m         6780Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-m69zp              600m         6785Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-n678h              496m         6800Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-ncrlf              576m         6808Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-ndt9z              580m         6788Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-nl7n7              571m         6807Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-p4f98              634m         6786Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-ptb4d              597m         6794Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-qbtnx              613m         6790Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-qdtrg              590m         6803Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-qwcvm              453m         6800Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-rb9kj              557m         6788Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-rgbc2              484m         6773Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-rs4jf              580m         6795Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-rwv2c              508m         6821Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-sthfj              633m         6777Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-t2blk              579m         6792Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-tgxpk              563m         6812Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-tlrk8              321m         6823Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-v8kq9              704m         6781Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-v8p4p              445m         6768Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-vg95d              522m         6780Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-vs8kx              582m         6812Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-xw5p5              566m         6816Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-z2sbx              590m         6788Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-zrwmt              560m         6795Mi          
emss-uia-bind-front-group-1-v27-5db5d8788c-zvbx7              626m         6804Mi          
emss-uia-brace-front-group-1-v9-8674767dff-259rw              511m         11432Mi         
emss-uia-brace-front-group-1-v9-8674767dff-2l569              512m         11442Mi         
emss-uia-brace-front-group-1-v9-8674767dff-42rph              412m         11165Mi         
emss-uia-brace-front-group-1-v9-8674767dff-4fb7k              465m         11399Mi         
emss-uia-brace-front-group-1-v9-8674767dff-6njqp              542m         11126Mi         
emss-uia-brace-front-group-1-v9-8674767dff-7gdx2              509m         11421Mi         
emss-uia-brace-front-group-1-v9-8674767dff-7rk9d              382m         9164Mi          
emss-uia-brace-front-group-1-v9-8674767dff-8gv2l              570m         11406Mi         
emss-uia-brace-front-group-1-v9-8674767dff-8q49x              498m         11433Mi         
emss-uia-brace-front-group-1-v9-8674767dff-8vr6f              481m         11357Mi         
emss-uia-brace-front-group-1-v9-8674767dff-9nbws              488m         11412Mi         
emss-uia-brace-front-group-1-v9-8674767dff-bfg2w              500m         11413Mi         
emss-uia-brace-front-group-1-v9-8674767dff-csp9b              500m         11295Mi         
emss-uia-brace-front-group-1-v9-8674767dff-d6n9g              528m         11448Mi         
emss-uia-brace-front-group-1-v9-8674767dff-dkdn4              529m         11484Mi         
emss-uia-brace-front-group-1-v9-8674767dff-fclkt              465m         11431Mi         
