NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-coc-oracle-inner-data-group-1-v5-794f789957-45r4z            47m          1866Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-4c2gg            18m          1860Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-52kkz            53m          1857Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-cf6s8            21m          1738Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-dlmkm            23m          1843Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-fg2rp            20m          1841Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-ht995            32m          1741Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-mdjx8            22m          1837Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-qwfpk            13m          1769Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-2g6ws                12m          3018Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-6xwz2                18m          3061Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-7b7cj                18m          3034Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-9gthf                13m          3001Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-bs7vg                14m          3020Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-bttq9                16m          2993Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-ckn55                19m          2995Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-fcwwk                34m          2955Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-k65j5                30m          3055Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-l48hw                34m          2996Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-msj6g                17m          3006Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-nn6h6                44m          2969Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-rfmgg                15m          3026Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-rk76p                14m          2991Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-t6g6n                22m          3004Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-zvc44                12m          2992Mi          
emss-csa-accept-front-group-1-v19-6657dbc669-zwrfx                18m          2985Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-5mmxb                 15m          2388Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-8qb8h                 29m          2434Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-hd7kw                 23m          2425Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-jwcdj                 23m          2400Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-lf5xp                 11m          2389Mi          
emss-csa-assign-front-group-1-v8-849c67f87d-xfh5d                 22m          2415Mi          
emss-csa-dispose-front-group-1-v16-748496488d-4bjdn               28m          2288Mi          
emss-csa-dispose-front-group-1-v16-748496488d-8bdhp               16m          2304Mi          
emss-csa-dispose-front-group-1-v16-748496488d-8jq79               10m          2299Mi          
emss-csa-dispose-front-group-1-v16-748496488d-8sgz8               26m          2288Mi          
emss-csa-dispose-front-group-1-v16-748496488d-9tn4q               12m          2313Mi          
emss-csa-dispose-front-group-1-v16-748496488d-fd8kp               14m          2317Mi          
emss-csa-dispose-front-group-1-v16-748496488d-g22qr               14m          2307Mi          
emss-csa-dispose-front-group-1-v16-748496488d-gvffp               13m          2282Mi          
emss-csa-dispose-front-group-1-v16-748496488d-jkct7               14m          2304Mi          
emss-csa-dispose-front-group-1-v16-748496488d-kb74q               11m          2292Mi          
emss-csa-dispose-front-group-1-v16-748496488d-kc9xg               12m          2303Mi          
emss-csa-dispose-front-group-1-v16-748496488d-lkf5p               11m          2297Mi          
emss-csa-dispose-front-group-1-v16-748496488d-rd8v7               11m          2308Mi          
emss-csa-dispose-front-group-1-v16-748496488d-rds2g               11m          2312Mi          
emss-csa-dispose-front-group-1-v16-748496488d-rk2g7               14m          2306Mi          
emss-csa-dispose-front-group-1-v16-748496488d-wkd4n               18m          2314Mi          
emss-csa-dispose-front-group-1-v16-748496488d-z8s2c               27m          2293Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-2hvbw             33m          2365Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-2zcl4             14m          2378Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-6p9dd             14m          2388Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-7822l             26m          2381Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-7rq7r             26m          2381Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-bsfzn             13m          2388Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-f2tds             28m          2378Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-hrsz2             11m          2381Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-lc4j5             27m          2386Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-qch7b             13m          2374Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-thqnm             13m          2399Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-twvhn             10m          2401Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-w5bg6             27m          2383Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-wj6f9             13m          2384Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-xjjqd             18m          2398Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-xxxbb             13m          2395Mi          
emss-csa-necsearch-front-group-1-v16-5c78bf5fc7-zmpnt             14m          2382Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-8nwtw             15m          3086Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-nkxsq             14m          3082Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-rd648             14m          3082Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-vmj5s             18m          3102Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-ws4p7             23m          3076Mi          
emss-csa-polymerize-front-group-1-v8-5dccdf668b-z8m4n             15m          3070Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-24cjr            9m           2232Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-4c2v7            16m          2213Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-7rhq4            27m          2220Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-bhtvg            12m          2228Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-h694q            20m          2232Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-m4k64            23m          2209Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-ph2hc            21m          2219Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-r8hk9            9m           2235Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-w4w5v            20m          2203Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-xp5wm            25m          2216Mi          
emss-csc-accept-subdomain-group-1-v18-7d4887bcb9-zz766            16m          2231Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-4ppqr           27m          2363Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-6kn2w           12m          2409Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-b47wt           11m          2390Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-dhvjc           15m          2392Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-l47tj           26m          2366Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-phw8q           12m          2386Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-pjhnl           9m           2385Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-rqnmf           11m          2394Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-vpjd4           15m          2390Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-w4sh5           10m          2386Mi          
emss-csc-dispose-subdomain-group-1-v15-58c8bc4b77-zmv4q           14m          2412Mi          
