NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-48p8m      28m          2547Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-4brhz      22m          2582Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-4chlv      29m          2541Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-4zm4f      24m          2554Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-5c4mv      29m          2533Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-69vjd      25m          2559Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-6hdf6      26m          2546Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-6n85v      28m          2549Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-6xp2d      38m          2543Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-7z4bz      25m          2542Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-8kb8f      26m          2544Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-9mk6z      23m          2538Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-9xfjs      25m          2518Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-c47cs      27m          2534Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-h72qm      33m          2539Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-jcc46      49m          2542Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-kc9rj      34m          2541Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-stpch      28m          2538Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-sz8vj      41m          2546Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-thdlh      29m          2581Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-tqzdl      31m          2531Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-vts89      31m          2539Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-x6xjb      30m          2530Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-xpxkn      50m          2525Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-xxrgd      32m          2544Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-zhg78      24m          2538Mi          
osg-busidxcalc-group-1-v2-77466f7649-b67vc                        18m          1466Mi          
osg-busidxcalc-group-1-v2-77466f7649-ltxvs                        16m          1380Mi          
osg-cea0002-group-1-v4-56965b9446-m86sz                           15m          1996Mi          
osg-cea0002-group-1-v4-56965b9446-vkkvd                           12m          1870Mi          
osg-cms0001-group-1-v9-668f6b4c98-qnd8n                           17m          2368Mi          
osg-cms0001-group-1-v9-668f6b4c98-xlcfv                           22m          2350Mi          
osg-cms0003-group-1-v7-6d568c674c-47hfv                           27m          2322Mi          
osg-cms0003-group-1-v7-6d568c674c-hgcb4                           15m          2363Mi          
osg-cms0004-group-1-v8-77fc98ff54-pk8s7                           21m          2345Mi          
osg-cms0004-group-1-v8-77fc98ff54-xbh8v                           10m          2330Mi          
osg-cms0005-group-1-v8-54d4cd7b7-dc5p2                            27m          2383Mi          
osg-cms0005-group-1-v8-54d4cd7b7-wj9rt                            11m          2369Mi          
osg-cms0006-group-1-v8-64988c87d9-5kgb4                           16m          2362Mi          
osg-cms0006-group-1-v8-64988c87d9-b8tcz                           9m           2385Mi          
osg-ctm1001-group-1-v7-6f94df579c-bwzxf                           45m          1469Mi          
osg-ctm1001-group-1-v7-6f94df579c-cqtrm                           19m          1465Mi          
osg-cusidxcalc-seat-group-1-v2-744f5b9894-8fx9x                   13m          1453Mi          
osg-cusidxcalc-seat-group-1-v2-744f5b9894-zlzpb                   13m          1392Mi          
osg-dr0008-inner2-group-1-v8-f5bfccbfc-455j5                      19m          1529Mi          
osg-dr0008-inner2-group-1-v8-f5bfccbfc-7jd68                      36m          1536Mi          
osg-dr0008-inner2-group-1-v8-f5bfccbfc-ddc8r                      29m          1514Mi          
